ID,lat,lon,Address
SF006322740,24.07,28.17,"البطنان, ليبيا"
WA007847230,22.05,17.42,"Ennedi Ouest إنيدي الغربية, Tchad تشاد"
UG000063630,2.75,32.333,"Sebseb ⵙⴻⴱⵙⴻⴱ سبسب, Daïra Metlili Châamba, Ghardaïa, 47025, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر"
SF002243890,29.97,22.72,"الوادي الجديد, مصر"
MA000067197,25.033,46.95,"Andrenyásza telep, Andreneasa, Răstolița, Mureș, 547481, România"
SF004331150,26.92,25.07,"الوادي الجديد, مصر"
SF004367470,26.95,26.92,"الوادي الجديد, مصر"
SF007226140,23.23,29.87,"البطنان, ليبيا"
SF005937780,24.97,30.43,"مطروح, مصر"
GB000064552,0.783,11.533,"Pama, Kompienga, Est, Burkina Faso"
SF000992290,32.32,26.13,"قنا, مصر"
LYE00147747,32.08,20.27,"الولاية الشمالية, السودان"
WA009637850,20.08,17.45,"Borkou بوركو, Tchad تشاد"
SF004016580,27.47,27.37,"الوادي الجديد, مصر"
SFM00068591,30.85,30.333,"الطريق الدائري الإقليمي, كفر الطراينة, المنوفية, 12975, مصر"
SF002328980,29.97,27.0,"غرد أبو محرك, الوادي الجديد, مصر"
SF000951230,32.05,24.08,"الوادي الجديد, مصر"
AGE00147708,36.72,4.05,"Dukana, North Horr, Marsabit, Eastern, Kenya"
ZA000067571,13.233,30.217,"الجبل الغربي, ليبيا"
AGE00147720,33.68,1.0,"Lwatama, Namutumba, Eastern Region, Uganda"
GB000004503,-3.42,10.65,"Koronkoura, Iolonioro, Bougouriba, Sud-Ouest, Burkina Faso"
SF002611460,29.45,26.08,"الوادي الجديد, مصر"
CTM00064665,4.317,21.183,"Abalessa ⴰⴱⴰⵍⵉⵙⴰ أبلسة, Daïra Abalessa, Tamanrasset, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر"
TSE00147769,36.8,10.17,"East Wellega, ኦሮሚያ ክልል / Oromia, ኢትዮጵያ"
SF001435980,31.47,24.33,"الوادي الجديد, مصر"
SF004335120,26.55,25.28,"الوادي الجديد, مصر"
MZ000067215,12.983,40.533,"Zone 4, አፋር ክልል / Afar, ኢትዮጵያ"
SF003667350,27.75,27.88,"الجيزة, مصر"
WA007407920,22.7,17.45,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
CF000004456,0.02,15.58,"Cercle d'Ansongo, Gao, Mali"
IV000005585,5.28,-3.3,"Adiaké, Sud-Comoé, Comoé, Côte d’Ivoire"
SF000065270,34.28,19.32,"بورتسودان, البحر الأحمر, 79800, السودان"
SF001492040,31.42,27.13,"أسيوط, مصر"
WA003501130,27.88,19.57,"الولاية الشمالية, السودان"
SF002097660,30.27,29.93,"مطروح, مصر"
SF001105120,31.57,20.3,"الولاية الشمالية, السودان"
ET000063500,6.083,37.633,"አርባ ምንጭ / Arba Minch, Gamo Gofa, ደቡብ ኢትዮጵያ ክልላዊ መንግስት / South Ethiopia Regional State, ኢትዮጵያ"
SUM00062801,11.75,32.783,"النقاط الخمس, ليبيا"
SF004762270,26.28,28.13,"مطروح, مصر"
SF004337910,26.68,25.45,"الوادي الجديد, مصر"
WZ004822290,26.32,31.13,"مطروح, مصر"
MI000067699,16.082,35.583,"الشلاتين, البحر الأحمر, مصر"
